SppName	Label	OttId	GbifId	ncbiId	Synonyms
Akodon varius	Akodon_varius_CRICETIDAE_RODENTIA	224515	gbif:2437922	ncbi:140762	
Alcelaphus buselaphus	Alcelaphus_buselaphus_BOVIDAE_CETARTIODACTYLA	989807	gbif:5220185	ncbi:59517	Antilope buselaphus
Alces alces	Alces_alces_CERVIDAE_CETARTIODACTYLA	460509	gbif:2440940	ncbi:9852	Alces muswa,Alces runnymedensis,Cervus alces,Alces europaeus,Alces coronatus,Alces machilis,Alces palmatus,Alces antiquorum,Alces alce,Alces jubata
Alces americanus	Alces_americanus_CERVIDAE_CETARTIODACTYLA	196762	gbif:4262283	ncbi:999462	Alces alces americana,Cervus americanus
Alionycteris paucidentata	Alionycteris_paucidentata_PTEROPODIDAE_CHIROPTERA	491371	gbif:2432970	ncbi:662937	
Allactaga bullata	Allactaga_bullata_DIPODIDAE_RODENTIA	910642	gbif:2439492	ncbi:1041416	Allactaga (Orientallactaga) bullata
Allactaga elater	Allactaga_elater_DIPODIDAE_RODENTIA	475305	gbif:2439489	ncbi:73861	Allactaga elater,Dipus elater,Allactaga elater strandi,Allactaga elater caucasicus,Allactaga elater turkmeni,Allactaga elater heptneri,Allactaga elater dzungariae,Allactaga elater kizljaricus,Allactaga elater zaisanicus,Allactaga indica,Allactaga aralychensis,Allactaga bactriana
Allactaga euphratica	Allactaga_euphratica_DIPODIDAE_RODENTIA	739520	gbif:2439484	ncbi:1208728	Allactaga euphratica kivanci
Allactaga firouzi	Allactaga_firouzi_DIPODIDAE_RODENTIA	739517		ncbi:1208729	
Allactaga hotsoni	Allactaga_hotsoni_DIPODIDAE_RODENTIA	1043408	gbif:2439488	ncbi:1041417	Allactaga firouzi
Allactaga major	Allactaga_major_DIPODIDAE_RODENTIA	852287	gbif:2439483	ncbi:233182	Dipus decumanus,Allactaga jaculus fuscus,Allactaga jaculus macrotis,Allactaga saliens chachlovi,Allactaga major djetysuensis,Allactaga saliens hochlovi,Mus jaculus,Allactaga jaculus brachyotis,Allactaga jaculus intermedius,Dipus major,Dipus vexillarius,Dipus aulacotis,Dipus spiculum
